"Year";"Age";"mx";"qx";"ax";"lx";"dx";"Lx";"Tx";"ex"
"1901";"0";"0.179";"0.16";"16008.269";"1e+05";"16008.269";"89274.46";"4275122.584";"42.751"
"1901";"1";"0.034";"0.034";"2833.377";"83991.731";"2833.377";"82575.043";"4185848.124";"49.836"
"1901";"2";"0.02";"0.019";"1568.313";"81158.354";"1568.313";"80374.198";"4103273.081";"50.559"
"1901";"3";"0.012";"0.012";"942.401";"79590.041";"942.401";"79118.84";"4022898.884";"50.545"
"1901";"4";"0.009";"0.009";"694.511";"78647.64";"694.511";"78300.384";"3943780.043";"50.145"
"1901";"5";"0.006";"0.006";"499.259";"77953.128";"499.259";"77703.499";"3865479.659";"49.587"
"1901";"6";"0.005";"0.005";"386.613";"77453.869";"386.613";"77260.563";"3787776.161";"48.904"
"1901";"7";"0.004";"0.004";"324.112";"77067.256";"324.112";"76905.2";"3710515.598";"48.146"
"1901";"8";"0.003";"0.003";"267.953";"76743.145";"267.953";"76609.168";"3633610.398";"47.348"
"1901";"9";"0.003";"0.003";"235.509";"76475.192";"235.509";"76357.437";"3557001.23";"46.512"
"1901";"10";"0.003";"0.003";"205.555";"76239.682";"205.555";"76136.905";"3480643.793";"45.654"
"1901";"11";"0.002";"0.002";"189.688";"76034.128";"189.688";"75939.284";"3404506.887";"44.776"
"1901";"12";"0.003";"0.003";"204.287";"75844.44";"204.287";"75742.296";"3328567.604";"43.887"
"1901";"13";"0.003";"0.003";"224.236";"75640.152";"224.236";"75528.034";"3252825.308";"43.004"
"1901";"14";"0.003";"0.003";"242.057";"75415.916";"242.057";"75294.887";"3177297.274";"42.13"
"1901";"15";"0.004";"0.004";"305.057";"75173.859";"305.057";"75021.33";"3102002.386";"41.264"
"1901";"16";"0.005";"0.005";"358.536";"74868.802";"358.536";"74689.534";"3026981.056";"40.43"
"1901";"17";"0.006";"0.006";"428.958";"74510.266";"428.958";"74295.787";"2952291.522";"39.623"
"1901";"18";"0.007";"0.007";"499.868";"74081.308";"499.868";"73831.374";"2877995.735";"38.849"
"1901";"19";"0.007";"0.007";"533.527";"73581.44";"533.527";"73314.676";"2804164.361";"38.11"
"1901";"20";"0.008";"0.008";"592.258";"73047.913";"592.258";"72751.784";"2730849.684";"37.384"
"1901";"21";"0.01";"0.01";"712.588";"72455.655";"712.588";"72099.361";"2658097.901";"36.686"
"1901";"22";"0.011";"0.011";"777.687";"71743.067";"777.687";"71354.223";"2585998.54";"36.045"
"1901";"23";"0.011";"0.011";"745.891";"70965.379";"745.891";"70592.434";"2514644.317";"35.435"
"1901";"24";"0.01";"0.01";"684.896";"70219.489";"684.896";"69877.041";"2444051.883";"34.806"
"1901";"25";"0.01";"0.01";"698.111";"69534.593";"698.111";"69185.537";"2374174.842";"34.144"
"1901";"26";"0.011";"0.011";"735.759";"68836.482";"735.759";"68468.603";"2304989.305";"33.485"
"1901";"27";"0.01";"0.01";"706.344";"68100.723";"706.344";"67747.551";"2236520.702";"32.841"
"1901";"28";"0.011";"0.011";"768.076";"67394.379";"768.076";"67010.341";"2168773.151";"32.18"
"1901";"29";"0.011";"0.011";"714.831";"66626.303";"714.831";"66268.888";"2101762.81";"31.546"
"1901";"30";"0.013";"0.012";"820.995";"65911.472";"820.995";"65500.975";"2035493.922";"30.882"
"1901";"31";"0.013";"0.013";"842.779";"65090.477";"842.779";"64669.088";"1969992.947";"30.265"
"1901";"32";"0.014";"0.014";"882.327";"64247.698";"882.327";"63806.535";"1905323.86";"29.656"
"1901";"33";"0.013";"0.013";"813.434";"63365.371";"813.434";"62958.654";"1841517.325";"29.062"
"1901";"34";"0.012";"0.012";"751.335";"62551.937";"751.335";"62176.269";"1778558.671";"28.433"
"1901";"35";"0.011";"0.011";"701.901";"61800.602";"701.901";"61449.652";"1716382.402";"27.773"
"1901";"36";"0.011";"0.011";"657.533";"61098.701";"657.533";"60769.935";"1654932.75";"27.086"
"1901";"37";"0.011";"0.011";"651.393";"60441.169";"651.393";"60115.472";"1594162.815";"26.375"
"1901";"38";"0.011";"0.011";"661.278";"59789.775";"661.278";"59459.137";"1534047.343";"25.657"
"1901";"39";"0.012";"0.012";"694.282";"59128.498";"694.282";"58781.356";"1474588.206";"24.939"
