"Year";"Age";"mx";"qx";"ax";"lx";"dx";"Lx";"Tx";"ex"
"1901";"0";"0.19";"0.169";"16880.326";"1e+05";"16880.326";"89027.788";"4606502.741";"46.065"
"1901";"1";"0.039";"0.038";"3142.066";"83119.674";"3142.066";"81548.641";"4517474.953";"54.349"
"1901";"2";"0.022";"0.022";"1762.611";"79977.608";"1762.611";"79096.303";"4435926.312";"55.465"
"1901";"3";"0.015";"0.015";"1152.03";"78214.997";"1152.03";"77638.982";"4356830.01";"55.703"
"1901";"4";"0.012";"0.012";"933.12";"77062.967";"933.12";"76596.407";"4279191.028";"55.529"
"1901";"5";"0.01";"0.01";"748.229";"76129.847";"748.229";"75755.732";"4202594.621";"55.203"
"1901";"6";"0.009";"0.009";"645.298";"75381.618";"645.298";"75058.969";"4126838.889";"54.746"
"1901";"7";"0.008";"0.008";"571.417";"74736.319";"571.417";"74450.611";"4051779.921";"54.214"
"1901";"8";"0.007";"0.006";"481.863";"74164.902";"481.863";"73923.971";"3977329.31";"53.628"
"1901";"9";"0.005";"0.005";"377.236";"73683.039";"377.236";"73494.421";"3903405.339";"52.976"
"1901";"10";"0.003";"0.003";"247.78";"73305.803";"247.78";"73181.913";"3829910.918";"52.246"
"1901";"11";"0.002";"0.002";"166.547";"73058.023";"166.547";"72974.749";"3756729.006";"51.421"
"1901";"12";"0.002";"0.002";"135.084";"72891.476";"135.084";"72823.933";"3683754.256";"50.538"
"1901";"13";"0.002";"0.002";"156.241";"72756.391";"156.241";"72678.271";"3610930.323";"49.63"
"1901";"14";"0.003";"0.003";"212.299";"72600.15";"212.299";"72494.001";"3538252.052";"48.736"
"1901";"15";"0.004";"0.004";"314.038";"72387.852";"314.038";"72230.832";"3465758.051";"47.878"
"1901";"16";"0.005";"0.005";"392.985";"72073.813";"392.985";"71877.321";"3393527.219";"47.084"
"1901";"17";"0.006";"0.006";"416.244";"71680.828";"416.244";"71472.706";"3321649.898";"46.339"
"1901";"18";"0.006";"0.006";"410.02";"71264.584";"410.02";"71059.574";"3250177.192";"45.607"
"1901";"19";"0.006";"0.005";"388.723";"70854.564";"388.723";"70660.202";"3179117.618";"44.868"
"1901";"20";"0.006";"0.006";"397.41";"70465.841";"397.41";"70267.136";"3108457.416";"44.113"
"1901";"21";"0.005";"0.005";"354.071";"70068.431";"354.071";"69891.396";"3038190.28";"43.36"
"1901";"22";"0.005";"0.005";"358.738";"69714.36";"358.738";"69534.991";"2968298.885";"42.578"
"1901";"23";"0.005";"0.005";"338.211";"69355.622";"338.211";"69186.516";"2898763.894";"41.796"
"1901";"24";"0.005";"0.005";"349.23";"69017.411";"349.23";"68842.796";"2829577.377";"40.998"
"1901";"25";"0.005";"0.005";"368.567";"68668.181";"368.567";"68483.898";"2760734.582";"40.204"
"1901";"26";"0.006";"0.006";"378.157";"68299.614";"378.157";"68110.536";"2692250.684";"39.418"
"1901";"27";"0.006";"0.006";"412.967";"67921.457";"412.967";"67714.973";"2624140.148";"38.635"
"1901";"28";"0.007";"0.007";"458.084";"67508.49";"458.084";"67279.448";"2556425.175";"37.868"
"1901";"29";"0.007";"0.007";"447.776";"67050.406";"447.776";"66826.518";"2489145.727";"37.123"
"1901";"30";"0.008";"0.008";"531.498";"66602.63";"531.498";"66336.881";"2422319.209";"36.37"
"1901";"31";"0.008";"0.008";"545.967";"66071.132";"545.967";"65798.149";"2355982.328";"35.658"
"1901";"32";"0.009";"0.009";"581.26";"65525.165";"581.26";"65234.535";"2290184.179";"34.951"
"1901";"33";"0.008";"0.008";"547.105";"64943.906";"547.105";"64670.353";"2224949.644";"34.26"
"1901";"34";"0.008";"0.008";"539.744";"64396.8";"539.744";"64126.928";"2160279.291";"33.546"
"1901";"35";"0.008";"0.007";"478.68";"63857.056";"478.68";"63617.716";"2096152.363";"32.826"
"1901";"36";"0.007";"0.007";"431.114";"63378.376";"431.114";"63162.819";"2032534.647";"32.07"
"1901";"37";"0.006";"0.006";"402.601";"62947.262";"402.601";"62745.961";"1969371.828";"31.286"
"1901";"38";"0.006";"0.006";"383.201";"62544.66";"383.201";"62353.06";"1906625.867";"30.484"
"1901";"39";"0.006";"0.005";"341.47";"62161.459";"341.47";"61990.724";"1844272.807";"29.669"
"1901";"40";"0.006";"0.006";"385.149";"61819.989";"385.149";"61627.415";"1782282.082";"28.83"
"1901";"41";"0.006";"0.006";"357.908";"61434.84";"357.908";"61255.886";"1720654.668";"28.008"
"1901";"42";"0.007";"0.007";"444.911";"61076.932";"444.911";"60854.477";"1659398.782";"27.169"
"1901";"43";"0.007";"0.007";"441.642";"60632.021";"441.642";"60411.2";"1598544.305";"26.365"
"1901";"44";"0.009";"0.009";"524.267";"60190.379";"524.267";"59928.245";"1538133.105";"25.554"
"1901";"45";"0.011";"0.011";"671.238";"59666.112";"671.238";"59330.493";"1478204.86";"24.775"
"1901";"46";"0.013";"0.013";"758.936";"58994.874";"758.936";"58615.406";"1418874.367";"24.051"
"1901";"47";"0.014";"0.014";"811.928";"58235.938";"811.928";"57829.974";"1360258.961";"23.358"
"1901";"48";"0.015";"0.015";"850.885";"57424.009";"850.885";"56998.567";"1302428.988";"22.681"
"1901";"49";"0.013";"0.013";"731.795";"56573.124";"731.795";"56207.226";"1245430.421";"22.015"
"1901";"50";"0.013";"0.013";"705.653";"55841.329";"705.653";"55488.502";"1189223.194";"21.296"
"1901";"51";"0.01";"0.01";"563.298";"55135.676";"563.298";"54854.027";"1133734.692";"20.563"
"1901";"52";"0.01";"0.01";"568.94";"54572.378";"568.94";"54287.908";"1078880.665";"19.77"
"1901";"53";"0.01";"0.01";"525.993";"54003.438";"525.993";"53740.441";"1024592.757";"18.973"
"1901";"54";"0.01";"0.01";"524.283";"53477.445";"524.283";"53215.304";"970852.316";"18.154"
"1901";"55";"0.012";"0.012";"630.104";"52953.162";"630.104";"52638.11";"917637.012";"17.329"
"1901";"56";"0.014";"0.014";"737.954";"52323.058";"737.954";"51954.081";"864998.902";"16.532"
"1901";"57";"0.016";"0.016";"829.421";"51585.104";"829.421";"51170.393";"813044.821";"15.761"
"1901";"58";"0.019";"0.019";"978.672";"50755.683";"978.672";"50266.347";"761874.428";"15.011"
"1901";"59";"0.021";"0.021";"1052.961";"49777.011";"1052.961";"49250.531";"711608.081";"14.296"
"1901";"60";"0.031";"0.03";"1479.999";"48724.05";"1479.999";"47984.051";"662357.55";"13.594"
"1901";"61";"0.031";"0.031";"1461.26";"47244.051";"1461.26";"46513.421";"614373.5";"13.004"
"1901";"62";"0.037";"0.036";"1641.412";"45782.791";"1641.412";"44962.085";"567860.078";"12.403"
"1901";"63";"0.041";"0.04";"1764.73";"44141.379";"1764.73";"43259.014";"522897.993";"11.846"
"1901";"64";"0.046";"0.045";"1887.744";"42376.649";"1887.744";"41432.778";"479638.979";"11.318"
"1901";"65";"0.055";"0.054";"2171.593";"40488.906";"2171.593";"39403.109";"438206.201";"10.823"
"1901";"66";"0.061";"0.059";"2266.253";"38317.313";"2266.253";"37184.186";"398803.092";"10.408"
"1901";"67";"0.062";"0.06";"2165.745";"36051.059";"2165.745";"34968.187";"361618.906";"10.031"
"1901";"68";"0.065";"0.063";"2134.204";"33885.314";"2134.204";"32818.212";"326650.72";"9.64"
"1901";"69";"0.062";"0.06";"1912.273";"31751.11";"1912.273";"30794.974";"293832.507";"9.254"
"1901";"70";"0.072";"0.069";"2064.884";"29838.837";"2064.884";"28806.395";"263037.534";"8.815"
"1901";"71";"0.065";"0.063";"1743.577";"27773.953";"1743.577";"26902.165";"234231.139";"8.433"
"1901";"72";"0.072";"0.069";"1797.435";"26030.377";"1797.435";"25131.66";"207328.973";"7.965"
"1901";"73";"0.076";"0.073";"1763.376";"24232.942";"1763.376";"23351.254";"182197.314";"7.519"
"1901";"74";"0.088";"0.084";"1885.651";"22469.567";"1885.651";"21526.741";"158846.059";"7.069"
"1901";"75";"0.107";"0.102";"2099.422";"20583.915";"2099.422";"19534.204";"137319.319";"6.671"
"1901";"76";"0.123";"0.116";"2148.643";"18484.493";"2148.643";"17410.171";"117785.115";"6.372"
"1901";"77";"0.137";"0.128";"2095.943";"16335.85";"2095.943";"15287.878";"100374.943";"6.144"
"1901";"78";"0.16";"0.148";"2109.22";"14239.906";"2109.22";"13185.297";"85087.065";"5.975"
"1901";"79";"0.146";"0.136";"1651.031";"12130.687";"1651.031";"11305.171";"71901.769";"5.927"
"1901";"80";"0.126";"0.119";"1244.653";"10479.655";"1244.653";"9857.329";"60596.598";"5.782"
"1901";"81";"0.135";"0.127";"1171.796";"9235.002";"1171.796";"8649.104";"50739.269";"5.494"
"1901";"82";"0.145";"0.135";"1091.936";"8063.206";"1091.936";"7517.238";"42090.165";"5.22"
"1901";"83";"0.156";"0.144";"1006.5";"6971.27";"1006.5";"6468.02";"34572.927";"4.959"
"1901";"84";"0.167";"0.154";"917.116";"5964.77";"917.116";"5506.212";"28104.907";"4.712"
"1901";"85";"0.178";"0.164";"825.548";"5047.654";"825.548";"4634.88";"22598.695";"4.477"
"1901";"86";"0.19";"0.174";"733.629";"4222.105";"733.629";"3855.291";"17963.816";"4.255"
"1901";"87";"0.203";"0.184";"643.173";"3488.477";"643.173";"3166.89";"14108.524";"4.044"
"1901";"88";"0.217";"0.195";"555.898";"2845.303";"555.898";"2567.355";"10941.634";"3.846"
"1901";"89";"0.231";"0.207";"473.339";"2289.406";"473.339";"2052.736";"8374.28";"3.658"
"1901";"90";"0.245";"0.218";"396.784";"1816.067";"396.784";"1617.675";"6321.543";"3.481"
"1901";"91";"0.261";"0.231";"327.217";"1419.283";"327.217";"1255.674";"4703.869";"3.314"
"1901";"92";"0.277";"0.243";"265.287";"1092.066";"265.287";"959.422";"3448.194";"3.157"
"1901";"93";"0.293";"0.256";"211.298";"826.779";"211.298";"721.13";"2488.772";"3.01"
"1901";"94";"0.31";"0.268";"165.229";"615.481";"165.229";"532.867";"1767.642";"2.872"
"1901";"95";"0.328";"0.282";"126.767";"450.253";"126.767";"386.869";"1234.775";"2.742"
"1901";"96";"0.346";"0.295";"95.365";"323.486";"95.365";"275.803";"847.906";"2.621"
"1901";"97";"0.364";"0.308";"70.304";"228.121";"70.304";"192.969";"572.102";"2.508"
"1901";"98";"0.383";"0.322";"50.762";"157.818";"50.762";"132.437";"379.133";"2.402"
"1901";"99";"0.403";"0.335";"35.88";"107.056";"35.88";"89.116";"246.696";"2.304"
"1901";"100";"0.422";"0.349";"24.815";"71.176";"24.815";"58.768";"157.581";"2.214"
